,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2020-12-23,30-161,POR,,UTA,L (-20),1,33:41,4,12,.333,1,7,.143,0,1,.000,0,4,4,7,1,1,1,1,9,8.2,-21
1,2,2,2020-12-26,30-164,POR,,HOU,W (+2),1,41:21,11,28,.393,5,13,.385,5,5,1.000,1,4,5,9,1,0,5,1,32,20.6,+9
2,3,3,2020-12-28,30-166,POR,@,LAL,W (+8),1,36:23,10,16,.625,5,10,.500,6,6,1.000,0,4,4,5,0,1,5,1,31,23.8,-10
3,4,4,2020-12-30,30-168,POR,@,LAC,L (-23),1,29:13,3,14,.214,0,8,.000,14,15,.933,1,4,5,4,1,0,4,1,20,12.3,-20
4,5,5,2021-01-01,30-170,POR,@,GSW,W (+25),1,35:23,11,21,.524,6,10,.600,6,6,1.000,0,4,4,8,1,0,1,3,34,29.3,+33
5,6,6,2021-01-03,30-172,POR,@,GSW,L (-15),1,39:08,10,24,.417,6,15,.400,6,7,.857,0,4,4,4,0,0,5,3,32,16.6,-10
6,7,7,2021-01-05,30-174,POR,,CHI,L (-3),1,36:42,6,17,.353,3,11,.273,9,11,.818,0,5,5,9,0,0,0,1,24,21.1,+5
7,8,8,2021-01-07,30-176,POR,,MIN,W (+18),1,28:57,13,21,.619,7,12,.583,6,7,.857,0,7,7,7,3,0,1,0,39,38.1,+12
8,9,9,2021-01-09,30-178,POR,@,SAC,W (+26),1,29:40,5,16,.313,1,7,.143,6,6,1.000,0,4,4,6,1,0,0,0,17,14.2,+26
9,10,10,2021-01-11,30-180,POR,,TOR,W (+1),1,40:03,8,16,.500,3,6,.500,4,4,1.000,0,7,7,5,0,1,8,0,23,13.3,+9
10,11,11,2021-01-13,30-182,POR,@,SAC,W (+6),1,41:58,11,23,.478,6,15,.400,12,12,1.000,0,1,1,13,3,0,0,2,40,39.9,+9
11,12,12,2021-01-14,30-183,POR,,IND,L (-24),1,35:46,7,16,.438,2,5,.400,6,6,1.000,2,4,6,4,1,0,5,2,22,14.2,-6
12,13,13,2021-01-16,30-185,POR,,ATL,W (+6),1,42:44,10,23,.435,4,12,.333,12,12,1.000,0,7,7,7,1,0,3,3,36,27.7,+18
13,14,14,2021-01-18,30-187,POR,,SAS,L (-21),1,35:35,10,23,.435,3,10,.300,12,12,1.000,0,3,3,6,1,1,5,2,35,23.9,-3
